tid|date|daypart|channel|items
1|2016-03-02|A|1|21d683,21d683
2|2016-03-02|A|1|aa254f,524e24,2f4a70,6ca4a6,221380,b8bfe8,221380,221380,221380,363929,363929
3|2016-03-02|A|2|fe5db1,aa254f,550e0e,7356a8,7356a8
4|2016-03-02|A|2|4d51b8
5|2016-03-02|A|2|6050b0
6|2016-03-02|A|2|6050b0,dc9f6a,dc9f6a
7|2016-03-02|A|2|6050b0,dc9f6a,321958
8|2016-03-02|A|2|6050b0
9|2016-03-02|A|2|7356a8,7356a8,363929,363929
10|2016-03-02|A|2|7356a8,dc9f6a,ea300a,6050b0,7356a8,7356a8,363929,363929,be94a7,316e9f,8319aa,5c1bb1
11|2016-03-02|A|2|1bfcc7,ea300a
12|2016-03-02|A|2|6050b0
13|2016-03-02|A|2|fe5db1,5c1bb1
14|2016-03-02|A|2|c2456b,ea300a
15|2016-03-02|A|2|7356a8,6050b0
16|2016-03-02|A|2|ea300a,ea300a,ea300a,62972e,33514b
17|2016-03-02|A|2|dc9f6a,21d683,7356a8,c2456b,1bfcc7,1bfcc7,363929,363929,2b87d9
18|2016-03-02|A|2|7356a8,7356a8
19|2016-03-02|A|2|7356a8,363929,316e9f
20|2016-03-02|A|2|dc9f6a,dc9f6a,1bfcc7,1bfcc7
21|2016-03-02|A|2|6050b0
22|2016-03-02|A|2|7356a8,7356a8,221380
23|2016-03-02|A|2|b31707
24|2016-03-02|A|2|7356a8
25|2016-03-02|A|2|6050b0
26|2016-03-02|A|2|6050b0,6050b0,7356a8,363929,363929
27|2016-03-02|A|2|524e24,7356a8,1bfcc7,1bfcc7,6050b0
28|2016-03-02|A|2|4d51b8,7356a8
29|2016-03-02|A|2|ea300a,487aef
30|2016-03-02|A|2|7356a8,7356a8,f9ec21,5c1bb1
31|2016-03-02|A|2|7356a8,7356a8
32|2016-03-02|A|2|1bfcc7,1bfcc7,1bfcc7,1bfcc7,221380,7356a8
33|2016-03-02|A|2|11c5cc
34|2016-03-02|A|2|6050b0
35|2016-03-02|A|2|7356a8,6050b0,221380,8319aa
36|2016-03-02|A|2|7356a8,7356a8,11170d
37|2016-03-02|A|2|524e24,363929,363929,ea300a,b31707
38|2016-03-02|A|2|995af2,7356a8,6050b0
39|2016-03-02|A|2|6050b0
40|2016-03-02|A|2|6050b0
41|2016-03-02|A|2|3254e9,2f4a70,fe5db1,1bfcc7,1bfcc7,1bfcc7,1bfcc7,6050b0,7356a8,7356a8
42|2016-03-02|A|2|6050b0,dc9f6a
43|2016-03-02|A|2|1bfcc7,62972e,524e24
44|2016-03-02|A|2|6050b0
45|2016-03-02|A|2|6050b0,221380
46|2016-03-02|A|2|dc9f6a,11170d
47|2016-03-02|A|2|6050b0,e7bb39
48|2016-03-02|A|2|6ca4a6
49|2016-03-02|A|2|ea300a
50|2016-03-02|A|2|5c1bb1
51|2016-03-02|A|2|524e24,ea300a
52|2016-03-02|A|2|7356a8,dc9f6a,995af2,11170d
53|2016-03-02|A|2|1bfcc7,1bfcc7
54|2016-03-02|A|2|6050b0,1bfcc7,1bfcc7,1bfcc7,1bfcc7,1bfcc7,1bfcc7,7356a8,7356a8
55|2016-03-02|A|2|6050b0
56|2016-03-02|A|2|dc9f6a,dc9f6a,1bfcc7,6050b0
57|2016-03-02|A|2|dc9f6a,363929
58|2016-03-02|A|2|7356a8,363929,11170d
59|2016-03-02|A|2|7356a8,7356a8
60|2016-03-02|A|2|21d683,363929
61|2016-03-02|A|2|aa254f,6ca4a6
62|2016-03-02|A|2|7356a8,6050b0
63|2016-03-02|A|2|524e24,524e24,8319aa,363929,363929
